ID;Systeem;Subthema;Categorie;Onderwerp;Omschrijving melding;Toelichting melding;Soort melding;Antwoord of oplossing
43;DocBase;Samenvoegen administraties;Stappenplan;Wat moet de contactpersoon doorgeven aan andere gebruikers?;Informatie doorgeven aan andere gebruikers;;Procedure;"Informatie die verstrekt is aan de contactpersoon van de parochie die ook van belang is voor de andere gebruikers dient door de contactpersoon aan deze gebruikers doorgegeven te worden.

LET OP!!!!
Vanaf nu moet iedere debiteur en ieder abonnement voorzien worden van een locatienummer zodat de juiste kostenplaats wordt gebruikt!!"
44;Exact;Samenvoegen administraties;Exact Online;Welke acties zijn nodig in Exact Online bij hybride naar centraal met kostenplaatsen?;Samenvoegen hybride naar centraal met kostenplaatsen;;FAQ;"Voor samenvoegen van hybride administratie naar centrale administratie MET kostenplaatsen:
Dit hoofdstuk kan worden overgeslagen; geen acties in Exact Online nodig."
45;Exact;Samenvoegen administraties;Exact Online;Welke aanpassing is nodig in Exact Online voor mutaties tot samenvoegdatum?;Mutaties tot samenvoegdatum;;Procedure;De saldi van alle grootboekrekeningen op eerder afgesproken datum (zie hoofdstuk 8.2) dienen ingevoerd te worden in de nieuwe centrale Exact-administratie. Hierbij kunnen de saldi per grootboekrekening worden uitgesplitst op basis van de in de vorige gebruikte administratie gehanteerde kostendragers. Bovendien kunnen de saldi worden voorzien van de kostenplaats behorende bij de betreffende locatie/geloofsgemeenschap. Op de grootboekrekeningen van de kas- en bankrekeningen (verbonden aan dagboeken) kan niet rechtstreeks geboekt worden in het Memoriaal-dagboek. De kas- en banksaldi zullen daarom in het betreffende kas- of bank-dagboek geboekt moeten worden.
46;Exact;Samenvoegen administraties;Exact Online;Welke aanpassing is nodig in Exact Online voor bankkoppelingen?;Bankkoppelingen;;Procedure;Tijdens het samenvoegingsproces mag er niet in Exact Online en in DocBase worden gewerkt. Bankmutaties uit de periode vanaf het moment tot wanneer de administratie is bijgewerkt (zie hoofdstuk 8.2) kunnen gedownload worden in de bankomgeving en worden geïmporteerd in de nieuwe centrale Exact-administratie. Vervolgens kunnen de bankoppelingen worden geactiveerd in de nieuwe centrale Exact-administratie.
47;Exact;Samenvoegen administraties;Exact Online;Welke aanpassing is nodig in Exact Online voor grootboekrekeningen?;Grootboekrekeningen;;Procedure;De nieuwe centrale Exact-administratie wordt voorzien van standaard rekeningschema voor parochies. Controleer of dit nog aanpassing behoeft in verband met nieuw aangemaakte of gewijzigde grootboekrekeningen in de decentrale Exact-administraties.
48;Exact;Samenvoegen administraties;Exact Online;Welke aanpassing is nodig in Exact Online voor dagboeken?;Dagboeken;;Procedure;De nummers van de dagboeken (bv. 10, 20) kunnen in meerdere tot nu toe gebruikte Exact-administraties voorkomen. In de nieuwe centrale Exact-administratie zullen sommige dagboeken derhalve een nieuw nummer krijgen. Dit heeft gevolgen voor de boekstuknummers.
49;Exact;Samenvoegen administraties;Exact Online;Welke aanpassing is nodig in Exact Online voor kostendragers?;Kostendragers;;Procedure;De nieuwe centrale Exact-administratie wordt voorzien van enkele standaard/voorbeeld-kostendragers voor parochies. In de tot nu toe gebruikte Exact-administraties zullen deze standaard-kostendragers ongetwijfeld zijn aangepast en aangevuld. In de nieuwe centrale Exact-administratie kunnen de standaard-kostendragers worden vervangen door de Kostendragers uit de decentrale Exact-administraties. Desgewenst kunnen deze worden geïmporteerd middels een exportbestand uit de tot nu toe gebruikte Exact-administraties.
50;Exact;Samenvoegen administraties;Exact Online;Welke aanpassing is nodig in Exact Online voor artikelen?;Artikelen;;Procedure;De nieuwe centrale Exact-administratie wordt voorzien van een standaard artikelenbestand voor parochies. Controleer of dit nog aanpassing behoeft in verband met nieuw aangemaakte of gewijzigde artikelen in de tot nu toe gebruikte Exact-administraties. Desgewenst kunnen de artikelen worden geïmporteerd middels een exportbestand uit de tot nu toe gebruikte Exact-administraties.
51;Exact;Samenvoegen administraties;Exact Online;Welke aanpassing is nodig in Exact Online voor factuurlayouts?;Factuurlayouts;;Procedure;De nieuwe centrale Exact-administratie wordt voorzien van enkele standaard factuurlayouts. Hiervan afwijkende, door de parochie zelf aangemaakte, factuurlayouts uit de tot nu toe gebruikte Exact-administraties kunnen worden overgezet naar de nieuwe centrale Exact-administratie.
52;Exact;Samenvoegen administraties;Exact Online;Welke aanpassing is nodig in Exact Online voor openstaande debiteuren en crediteuren?;Openstaande debiteuren en crediteuren;;Procedure;Op de samenvoegdatum openstaande debiteuren en/of crediteuren dienen handmatig ingevoerd te worden in de nieuwe centrale Exact-administratie.
53;Exact;Samenvoegen administraties;Exact Online;Welke aanpassing is nodig in Exact Online voor betaalcondities?;Betaalcondities;;Procedure;Indien er in meerdere decentrale Exact-administraties wordt geïncasseerd, kan het voorkomen dat een bepaalde betaalconditie (bv. “IN”) in meerdere administraties wordt gebruikt. In de nieuwe situatie wordt in DocBase aan elke locatie/geloofsgemeenschap een aparte betaalconditie gekoppeld (bv. 50, 51 etc.). De betaalconditie van een locatie/geloofsgemeenschap in DocBase moet overeenkomen met de betaalconditie die in de nieuwe centrale Exact-administratie gekoppeld is aan de incasserende bankrekening van die betreffende locatie/geloofsgemeenschap. De betaalcondities in de nieuwe centrale Exact-administratie worden door ons ingericht en afgestemd met die in DocBase.
54;Exact;Samenvoegen administraties;Exact Online;Welke aanpassing is nodig in Exact Online voor debiteuren en crediteuren?;Debiteuren en crediteuren;;Procedure;Alle KB-relaties/KB-debiteuren worden vanuit DocBase (opnieuw) aangemaakt in de nieuwe centrale Exact-administratie. Zijn er in de decentrale Exact-administratie nog andere (dus niet KB-)debiteuren aangemaakt en/of zijn er crediteuren aangemaakt, dan kunnen de stamgegevens van deze debiteuren en crediteuren (handmatig of middels een import) worden overgenomen in de nieuwe centrale Exact-administratie.
55;Exact;Samenvoegen administraties;Exact Online;Welke aanpassing is nodig in Exact Online voor toewijzingsregels?;Toewijzingsregels;;Procedure;Alle KB-relaties/KB-debiteuren worden vanuit DocBase (opnieuw) aangemaakt in de nieuwe centrale Exact-administratie. Indien het bankrekeningnummer op de ledenkaart in DocBase is ingevuld, wordt er voor de KB-relatie/KB-debiteur ook een Toewijzingsregel in de nieuwe centrale Exact-administratie aangemaakt. Zijn er in de decentrale Exact-administratie nog andere (dus niet KB-gerelateerde) Toewijzingsregels aangemaakt, dan kunnen deze (handmatig) worden overgenomen in de nieuwe centrale Exact-administratie. Dit is niet mogelijk middels een import.
56;Exact;Samenvoegen administraties;Exact Online;Welke aanpassing is nodig in Exact Online voor kostenplaatsen?;Kostenplaatsen;;Procedure;Indien gewenst kunnen kostenplaatsen van abonnementen worden aangepast. Dit is over het algemeen alleen van toepassing indien er een samenvoeging van meerdere centrale administraties of decentrale administratie naar één centrale administratie heeft plaatsgevonden.
57;DocBase;Export naar Excel;AVG;Wat is de exportfunctie in DocBase?;Exportfunctie DocBase naar Excel;;FAQ;"Bij het gebruik van de Docbase bestaat de mogelijkheid om persoonsgegevens uit DocBase om te zetten naar een lijst in Excel. Dit is de zogenaamde ‘exportfunctie’.

De informatie die in DocBase is opgeslagen, kan via Excel worden gebruikt voor bijvoorbeeld noodzakelijke looplijsten en rapportages.

De verantwoordelijkheid voor het goed en zorgvuldig gebruik van de gegevens ligt bij uw parochie. Medewerkers en vrijwilligers dienen daarom door u goed geïnformeerd te worden. Het datalek bij de GGD heeft recent weer aangetoond wat er fout kan gaan als technische en organisatorische maatregelen niet op orde zijn.

Als u gegevens uit DocBase exporteert naar Excel haalt u persoonsgegevens van parochianen uit de beveiligde omgeving van DocBase."
58;DocBase;Export naar Excel;AVG;Wanneer mag ik gegevens uit DocBase exporteren naar Excel?;Voorwaarden voor export naar Excel;;FAQ;"U mag gegevens alleen exporteren uit DocBase als u aan de ondergenoemde drie voorwaarden voldoet:
1. NOODZAAK
2. MINIMALISATIE
3. BEVEILIGING"
59;DocBase;Export naar Excel;AVG;Wat betekent noodzaak bij export naar Excel?;Noodzaak bij export naar Excel;;FAQ;"NOODZAAK

Het exporteren van de persoonsgegevens naar een Excel is werkelijk noodzakelijk om een gerechtvaardigd belang van de parochie na te streven en u heeft geen andere manier om hetzelfde doel te bereiken. (NB: dat u lijsten wilt controleren en dat het gemakkelijker leest van papier is dus geen reden!)"
60;DocBase;Export naar Excel;AVG;Wat betekent minimalisatie bij export naar Excel?;Minimalisatie bij export naar Excel;;FAQ;"MINIMALISATIE

U mag niet meer gegevens uit DocBase exporteren dan voor het doel absoluut noodzakelijk is. (NB: bezorglijsten kunnen volstaan met alleen adressen. Hier hoeven strikt genomen geen andere persoonsgegevens, zoals namen, op te staan)"
61;DocBase;Export naar Excel;AVG;Wie is verantwoordelijk voor beveiliging van geëxporteerde persoonsgegevens?;Beveiliging bij export naar Excel;;FAQ;"BEVEILIGING

Zodra u persoonsgegevens uit DocBase exporteert naar Excel kan DocBase de beveiliging van die persoonsgegevens natuurlijk niet mee waarborgen. U bent volledig verantwoordelijk (en aansprakelijk) voor beveiliging en zorgvuldige behandeling van de geëxporteerde persoonsgegevens. Neem daarom technische (computerbeveiliging) en organisatorische (instrueer medewerkers en vrijwilligers) maatregelen om de beveiliging van persoonsgegevens buiten DocBase te waarborgen."
62;DocBase;Export naar Excel;AVG;Moet ik exportbestanden na gebruik verwijderen?;Exportbestanden verwijderen;;FAQ;Het is bijvoorbeeld van het grootste belang dat u gedownloade exportbestanden, na gebruik, onmiddellijk en definitief van uw computer verwijderd. U heeft die exportbestanden na verwerking immers niet meer nodig.
63;DocBase;Export naar Excel;AVG;Hoe moet ik omgaan met geprinte lijsten uit DocBase?;Papieren lijsten veilig gebruiken en vernietigen;;FAQ;U dient er ook op toe te zien dat lijsten, na bewerking op de computer, alleen veilig worden verspreid en veilig worden gebruikt. Na gebruik moeten de lijsten onmiddellijk worden vernietigd (dat is niet bij het oud-papier!) Alle genoemde beveiligingsmaatregelen gelden uiteraard voor zowel digitale als papieren bestanden.
64;DocBase;Kerktoetreder;Ledenadministratie;Wanneer maak ik een nieuw lid aan in DocBase?;Wanneer en hoe maak je een lid aan in DocBase?;;FAQ;"De meeste nieuwe leden worden automatisch in DocBase aan uw ledenbestand toegevoegd na bijv. een SILA-mutatie adreswijziging. Toch kan het zijn dat u een relatie handmatig wilt toevoegen. Dit komt bijvoorbeeld voor wanneer u door gezinsuitbreiding een kind wilt administreren als nieuwe relatie in DocBase.

Er zijn twee manieren om een lid toe te voegen aan DocBase."
65;DocBase;Kerktoetreder;Ledenadministratie;Hoe voeg ik een lid toe aan een bestaand gezin?;Nieuw lid toevoegen aan bestaand gezin;;Procedure;"U wilt een lid toevoegen aan een bestaand gezin;

Ga naar 01. Ledenadministratie en zoek het gezin op (bijvoorbeeld via het adres);

Klik op één van de gezinsleden en ga naar tabblad (Mede-)bewoners. Klik op Nieuw+.

De adresgegevens en de geografische parochiegegevens zijn al ingevuld. Vul zoveel mogelijk gegevens in. Om de wijkgegevens toe te kennen klik op het oranje PostNL icoontje bij bijv. het veld Postcode, daarna op Zoek Adres/PostCode en op OK. Om het lid aan te melden bij SILA klik bij het veld SILA aan- afmelding op Verzoek aanmelding. Klik hierna op OK.

Let op. Om een lid bij SILA aan te melden is het noodzakelijk dat de geboortedatum van het lid correct is ingevuld. Bovendien mag er geen komma staan tussen de voornamen."
66;DocBase;Kerktoetreder;Ledenadministratie;Hoe voeg ik een lid toe waarvan geen gezinsleden in DocBase zijn?;Nieuw lid toevoegen zonder bestaand gezin;;Procedure;"U wilt een lid toevoegen waarvan geen gezinsleden in DocBase zijn;

Ga naar 01. Ledenadministratie en klik op Nieuw+.

Vul zoveel mogelijk gegevens in. Klik op het oranje PostNL icoontje bij bijv. het veld Postcode, daarna op Zoek Adres/PostCode en op OK. De geografische gegevens en de wijkgegevens worden nu gevuld. Om het lid aan te melden bij SILA klik bij het veld Sila aan- afmelding op Verzoek aanmelding. Klik hierna op OK.

Let op. Om een lid bij SILA aan te melden is het noodzakelijk dat de geboortedatum van het lid correct is ingevuld. Bovendien mag er geen komma staan tussen de voornamen."
67;DocBase;Kerktoetreder;Ledenadministratie;Welke velden worden automatisch gevuld bij een nieuw lid?;Automatisch gevulde velden bij nieuw lid;;FAQ;Velden waar een slotje op zit zoals Zoeknaam (volledige naam) en Achternaam (incl tussenvoegsels) worden automatisch gevuld vanuit de andere velden zoals Roepnaam, Initialen, Geslachtsnaam (geboorte) en Achternaam echtgeno(o)t(e).
